,name,sort,pic_url,preJudge,songJudge,firstRank,secondRank,thirdRank,finalRank,Facevalue
48,高直,49,https://vfiles.gtimg.cn/vupload/202005/c24dbe1589024359027.jpg,板凳队,主力队,48,,,,67.99
49,余子鱼,50,https://vfiles.gtimg.cn/vupload/202005/9d0ba91589024460394.jpg,板凳队,预备队,35,,,,84.11
50,王丽娜,51,https://vfiles.gtimg.cn/vupload/202005/c0d8641589025180557.jpg,主力队,板凳队,54,,,,74.77
51,崔文美秀,52,https://vfiles.gtimg.cn/vupload/202005/8d86791589023879706.jpg,板凳队,主力队,36,,,,89.28
52,卞卡,53,https://vfiles.gtimg.cn/vupload/202005/4a0a151589025099991.jpg,板凳队,板凳队,31,,,,86.1
53,史芮伊,54,https://vfiles.gtimg.cn/vupload/202005/40c5ab1589023991084.jpg,预备队,板凳队,39,,,,83.85
54,张雅卓,55,https://vfiles.gtimg.cn/vupload/202005/27b1471589024473251.jpg,预备队,主力队,40,,,,89.11
55,刘雨露,56,https://vfiles.gtimg.cn/vupload/202005/88c1f11589025038534.jpg,板凳队,板凳队,42,,,,81.83
56,王曦瑶,57,https://vfiles.gtimg.cn/vupload/202005/ca75e91589024691086.jpg,预备队,板凳队,70（旁听生）,,,,65.35
57,李丞汐,58,https://vfiles.gtimg.cn/vupload/202005/6cc5ca1589024022461.jpg,主力队,预备队,75（旁听生）,,,,68.22
58,孟欢,59,https://vfiles.gtimg.cn/vupload/202005/6dddea1589024146789.jpg,板凳队,预备队,56（淘汰）,,,,74.52
59,万芳舟,60,https://vfiles.gtimg.cn/vupload/202005/3cb84a1589024510530.jpg,预备队,预备队,58（淘汰）,,,,75.36
60,袁嘉艺,61,https://vfiles.gtimg.cn/vupload/202005/1765be1589024194053.jpg,主力队,板凳队,59（淘汰）,,,,78.89
61,陈俞瑾,62,https://vfiles.gtimg.cn/vupload/202005/d714781589024658569.jpg,板凳队,板凳队,60（淘汰）,,,,71.93
62,林嘉慧,63,https://vfiles.gtimg.cn/vupload/202005/7f9edc1589023930191.jpg,板凳队,主力队,61（淘汰）,,,,76.93
63,张欣媚,64,https://vfiles.gtimg.cn/vupload/202005/0021261589024004018.jpg,主力队,板凳队,62（淘汰）,,,,76.39
64,曾淑岩,65,https://vfiles.gtimg.cn/vupload/202005/b35b4b1589024547833.jpg,预备队,主力队,63（淘汰）,,,,69.56
65,舒一灵,66,https://vfiles.gtimg.cn/vupload/202005/73b2a41589024756256.jpg,预备队,首发成团位,64（淘汰）,,,,83.45
66,姜丹,67,https://vfiles.gtimg.cn/vupload/202005/6ccad81589023919732.jpg,主力队,板凳队,65（淘汰）,,,,70.88
67,张馨允,68,https://vfiles.gtimg.cn/vupload/202005/9c34a51589023958940.jpg,预备队,主力队,66（淘汰）,,,,76.93
68,丁诗妤,69,https://vfiles.gtimg.cn/vupload/202005/4458fa1589024446414.jpg,板凳队,板凳队,67（淘汰）,,,,87.2
69,王雨朵,70,https://vfiles.gtimg.cn/vupload/202005/ae8db11589024331730.jpg,预备队,板凳队,68（淘汰）,,,,76.99
70,文婕,71,https://vfiles.gtimg.cn/vupload/202005/32cc781589024497428.jpg,板凳队,预备队,69（淘汰）,,,,83.27
71,鹂蔓,72,https://vfiles.gtimg.cn/vupload/202005/ffe1bf1589024766366.jpg,预备队,主力队,71（淘汰）,,,,63.72
72,陈欣叶,73,https://vfiles.gtimg.cn/vupload/202005/8eb22f1589025110694.jpg,板凳队,主力队,72（淘汰）,,,,84.66
73,李惠玉,74,https://vfiles.gtimg.cn/vupload/202005/370b861589024561953.jpg,板凳队,板凳队,73（淘汰）,,,,79.61
74,黄碧茵,75,https://vfiles.gtimg.cn/vupload/202005/7774141589023971187.jpg,预备队,预备队,74（淘汰）,,,,82.62
75,李保怡,76,https://vfiles.gtimg.cn/vupload/202005/f254601589024168087.jpg,预备队,主力队,76（淘汰）,,,,85.13
76,庞雪倩,77,https://vfiles.gtimg.cn/vupload/202005/aafcb11589024983956.jpg,板凳队,预备队,77（淘汰）,,,,74.25
77,毕少岩,78,https://vfiles.gtimg.cn/vupload/202005/60bc211589025062101.jpg,预备队,预备队,78（淘汰）,,,,80.71
