name,sort,pic_url,preJudge,songJudge,firstRank,secondRank,thirdRank,finalRank
史芮伊,54,https://vfiles.gtimg.cn/vupload/202005/40c5ab1589023991084.jpg,预备队,板凳队,39,,,
张雅卓,55,https://vfiles.gtimg.cn/vupload/202005/27b1471589024473251.jpg,预备队,主力队,40,,,
刘雨露,56,https://vfiles.gtimg.cn/vupload/202005/88c1f11589025038534.jpg,板凳队,板凳队,42,,,
王曦瑶,57,https://vfiles.gtimg.cn/vupload/202005/ca75e91589024691086.jpg,预备队,板凳队,70（旁听生）,,,
李丞汐,58,https://vfiles.gtimg.cn/vupload/202005/6cc5ca1589024022461.jpg,主力队,预备队,75（旁听生）,,,
孟欢,59,https://vfiles.gtimg.cn/vupload/202005/6dddea1589024146789.jpg,板凳队,预备队,56（淘汰）,,,
万芳舟,60,https://vfiles.gtimg.cn/vupload/202005/3cb84a1589024510530.jpg,预备队,预备队,58（淘汰）,,,
袁嘉艺,61,https://vfiles.gtimg.cn/vupload/202005/1765be1589024194053.jpg,主力队,板凳队,59（淘汰）,,,
陈俞瑾,62,https://vfiles.gtimg.cn/vupload/202005/d714781589024658569.jpg,板凳队,板凳队,60（淘汰）,,,
林嘉慧,63,https://vfiles.gtimg.cn/vupload/202005/7f9edc1589023930191.jpg,板凳队,主力队,61（淘汰）,,,
张欣媚,64,https://vfiles.gtimg.cn/vupload/202005/0021261589024004018.jpg,主力队,板凳队,62（淘汰）,,,
曾淑岩,65,https://vfiles.gtimg.cn/vupload/202005/b35b4b1589024547833.jpg,预备队,主力队,63（淘汰）,,,
舒一灵,66,https://vfiles.gtimg.cn/vupload/202005/73b2a41589024756256.jpg,预备队,首发成团位,64（淘汰）,,,
姜丹,67,https://vfiles.gtimg.cn/vupload/202005/6ccad81589023919732.jpg,主力队,板凳队,65（淘汰）,,,
张馨允,68,https://vfiles.gtimg.cn/vupload/202005/9c34a51589023958940.jpg,预备队,主力队,66（淘汰）,,,
丁诗妤,69,https://vfiles.gtimg.cn/vupload/202005/4458fa1589024446414.jpg,板凳队,板凳队,67（淘汰）,,,
王雨朵,70,https://vfiles.gtimg.cn/vupload/202005/ae8db11589024331730.jpg,预备队,板凳队,68（淘汰）,,,
文婕,71,https://vfiles.gtimg.cn/vupload/202005/32cc781589024497428.jpg,板凳队,预备队,69（淘汰）,,,
鹂蔓,72,https://vfiles.gtimg.cn/vupload/202005/ffe1bf1589024766366.jpg,预备队,主力队,71（淘汰）,,,
陈欣叶,73,https://vfiles.gtimg.cn/vupload/202005/8eb22f1589025110694.jpg,板凳队,主力队,72（淘汰）,,,
李惠玉,74,https://vfiles.gtimg.cn/vupload/202005/370b861589024561953.jpg,板凳队,板凳队,73（淘汰）,,,
黄碧茵,75,https://vfiles.gtimg.cn/vupload/202005/7774141589023971187.jpg,预备队,预备队,74（淘汰）,,,
李保怡,76,https://vfiles.gtimg.cn/vupload/202005/f254601589024168087.jpg,预备队,主力队,76（淘汰）,,,
庞雪倩,77,https://vfiles.gtimg.cn/vupload/202005/aafcb11589024983956.jpg,板凳队,预备队,77（淘汰）,,,
毕少岩,78,https://vfiles.gtimg.cn/vupload/202005/60bc211589025062101.jpg,预备队,预备队,78（淘汰）,,,
潘小雪,79,https://vfiles.gtimg.cn/vupload/202005/c3a77d1589024711463.jpg,主力队,预备队,79（淘汰）,,,
沈小婷,80,https://vfiles.gtimg.cn/vupload/202005/af155c1589024220726.jpg,板凳队,主力队,80（淘汰）,,,
卫倩妮,81,https://vfiles.gtimg.cn/vupload/202005/c041c31589024635066.jpg,板凳队,主力队,81（淘汰）,,,
吴妙茵,82,https://vfiles.gtimg.cn/vupload/202005/01b3751589024727542.jpg,板凳队,预备队,82（淘汰）,,,
谭思慧,83,https://vfiles.gtimg.cn/vupload/202005/8f86491589024799479.jpg,板凳队,预备队,83（淘汰）,,,
李雨露,84,https://vfiles.gtimg.cn/vupload/202005/b9df071589024848295.jpg,板凳队,预备队,84（淘汰）,,,
陈柔冰,85,https://vfiles.gtimg.cn/vupload/202005/3fd9251589023898549.jpg,板凳队,预备队,85（淘汰）,,,
吕欣蔚,86,https://vfiles.gtimg.cn/vupload/202005/8657531589024971786.jpg,板凳队,预备队,86（淘汰）,,,
宋宇苗,87,https://vfiles.gtimg.cn/vupload/202005/c644a51589024614200.jpg,板凳队,板凳队,87（淘汰）,,,
李佳洁,88,https://vfiles.gtimg.cn/vupload/202005/cb337c1589024599718.jpg,板凳队,主力队,88（淘汰）,,,
张纯如,89,https://vfiles.gtimg.cn/vupload/202005/642c721589024946928.jpg,板凳队,预备队,89（淘汰）,,,
刘诗琦,90,https://vfiles.gtimg.cn/vupload/202005/9385161589024042588.jpg,板凳队,板凳队,90（淘汰）,,,
王靖贤,91,https://vfiles.gtimg.cn/vupload/202005/7475e01589024669356.jpg,板凳队,预备队,91（淘汰）,,,
谢樱俊,92,https://vfiles.gtimg.cn/vupload/202005/5b73761589024431416.jpg,板凳队,板凳队,92（淘汰）,,,
吴晓凝,93,https://vfiles.gtimg.cn/vupload/202005/4b42de1589024233584.jpg,板凳队,板凳队,93（淘汰）,,,
周雨霖,94,https://vfiles.gtimg.cn/vupload/202005/c333c71589024786723.jpg,板凳队,板凳队,94（淘汰）,,,
孙露鹭,95,https://vfiles.gtimg.cn/vupload/202005/00ae071589024679037.jpg,主力队,预备队,95（淘汰）,,,
黄若元,96,https://vfiles.gtimg.cn/vupload/202005/addda21589024647626.jpg,板凳队,预备队,96（淘汰）,,,
谢安诗,97,https://vfiles.gtimg.cn/vupload/202005/48ee961589024743076.jpg,板凳队,板凳队,97（淘汰）,,,
赵天爱,98,https://vfiles.gtimg.cn/vupload/202005/082f171589024959575.jpg,板凳队,板凳队,98（淘汰）,,,
温馨,99,https://vfiles.gtimg.cn/vupload/202005/0666b41589024811814.jpg,板凳队,主力队,99（淘汰）,,,
黄雨晴,100,https://vfiles.gtimg.cn/vupload/202005/d89c631589024822124.jpg,板凳队,主力队,100（淘汰）,,,
胡娅楠,101,https://vfiles.gtimg.cn/vupload/202005/e217001589024777234.jpg,板凳队,板凳队,101（淘汰）,,,
